Dam/Reservoir,Dam/Reservoir Url,River,River Url,Location,Location Url,Type,Type Url,Height,Length,No. of Gates,Storage capacity (tmcft),Reservoir Area (km2),Year of Completion,Purpose,Purpose Url
Dowleswaram Barrage,https://en.wikipedia.org/wiki/Dowleswaram_Barrage,Godavari River,https://en.wikipedia.org/wiki/Godavari_River,"Rajahmundry, East Godavari district, Andhra Pradesh",https://en.wikipedia.org/wiki/Rajahmundry,Barrage,https://en.wikipedia.org/wiki/Barrage_(dam),4.572 m (15 ft),"5,837 m (19,150 ft)",186,5.14 tmcft (including dead storage),63.5 km2,1850,Irrigation & Water supply,https://en.wikipedia.org/wiki/Irrigation
Jalaput Dam,https://en.wikipedia.org/wiki/Jalaput_Dam,Godavari River,https://en.wikipedia.org/wiki/Godavari_River,"Jalaput village, Alluri Sitharama Raju district, Andhra Pradesh",https://en.wikipedia.org/w/index.php?title=Jalaput_village&action=edit&redlink=1,Gravity & Masonry dam,https://en.wikipedia.org/wiki/Gravity_dam,60.65 m (199 ft),"419 m (1,375 ft)",10,34.273 tmcft,97.12 km2,2000,Hydroelectric & Irrigation,https://en.wikipedia.org/wiki/Hydroelectric
Polavaram Dam,https://en.wikipedia.org/wiki/Polavaram_Project,Godavari River,https://en.wikipedia.org/wiki/Godavari_River,"Polavaram, Eluru district, Andhra Pradesh","https://en.wikipedia.org/wiki/Polavaram,_Eluru_district",Earth-fill & Masonry dam,https://en.wikipedia.org/wiki/Embankment_dam,39.28 m (129 ft),"2,914 m (9,560 ft)",48,194 tmcft,600 km2,Under construction,"Hydroelectric, Irrigation & Water supply",https://en.wikipedia.org/wiki/Hydroelectric
Prakasham Barrage,https://en.wikipedia.org/wiki/Prakasham_Barrage,Krishna River,https://en.wikipedia.org/wiki/Krishna_River,"Vijayawada, NTR district, Andhra Pradesh",https://en.wikipedia.org/wiki/Vijayawada,Barrage,https://en.wikipedia.org/wiki/Barrage_(dam),3.66 m (12 ft),"1,223.5 m (4,014 ft)",70,3 tmcft,30.36 km2,1855,Irrigation & Water supply,https://en.wikipedia.org/wiki/Irrigation
Nagarjuna Sagar Dam,https://en.wikipedia.org/wiki/Nagarjuna_Sagar_Dam,Krishna River,https://en.wikipedia.org/wiki/Krishna_River,"Nagarjuna Sagar, Palnadu district, Andhra Pradesh",https://en.wikipedia.org/wiki/Nagarjuna_Sagar,Earth-fill & Masonry dam,https://en.wikipedia.org/wiki/Embankment_dam,124 m (407 ft),"1,550 m (5,085 ft)",26,312 tmcft,181.051 km2,1967,Hydroelectric & Irrigation,https://en.wikipedia.org/wiki/Hydroelectric
Nagarjuna Sagar tail pond,https://en.wikipedia.org/wiki/Nagarjuna_Sagar_tail_pond,Krishna River,https://en.wikipedia.org/wiki/Krishna_River,"Nagarjuna Sagar, Palnadu district, Andhra Pradesh",https://en.wikipedia.org/wiki/Nagarjuna_Sagar,Earth-fill & Masonry dam,https://en.wikipedia.org/wiki/Embankment_dam,62.48 m (205 ft),10 m (33 ft),,6 tmcft,120.67 km2,2014,Irrigation & Water supply,https://en.wikipedia.org/wiki/Irrigation
Srisailam Dam,https://en.wikipedia.org/wiki/Srisailam_Dam,Krishna River,https://en.wikipedia.org/wiki/Krishna_River,"Sri Sailam, Nandyal district, Andhra Pradesh",https://en.wikipedia.org/wiki/Sri_Sailam,Gravity & Masonry dam,https://en.wikipedia.org/wiki/Gravity_dam,145.10 m (476 ft),"512 m (1,680 ft)",13,216 tmcft,200 km2,1981,"Hydroelectric, Irrigation & Water supply",https://en.wikipedia.org/wiki/Hydroelectric
Nallamalasagar Reservoir,https://en.wikipedia.org/wiki/Veligonda_Project,Krishna River,https://en.wikipedia.org/wiki/Krishna_River,"Prakasham district, Andhra Pradesh",https://en.wikipedia.org/wiki/Prakasham_district,Earth-fill,https://en.wikipedia.org/wiki/Embankment_dam,11.7 m (38 ft),,,43.5 tmcft,,Under construction,Irrigation & Water supply,https://en.wikipedia.org/wiki/Irrigation
Telugu Ganga,https://en.wikipedia.org/wiki/Telugu_Ganga,Krishna River,https://en.wikipedia.org/wiki/Krishna_River,"Atmakur, Kurnool district, Andhra Pradesh","https://en.wikipedia.org/wiki/Atmakur,_Kurnool_district",,,,,,,,2004,Irrigation & Water supply,https://en.wikipedia.org/wiki/Irrigation
Gandikota Reservoir,https://en.wikipedia.org/wiki/Gandikota_Reservoir,Penna River,https://en.wikipedia.org/wiki/Penna_River,"Kadapa, Kadapa district, Andhra Pradesh",https://en.wikipedia.org/wiki/Kadapa,,,,,,26.85 tmcft,,2013,Irrigation & Water supply,https://en.wikipedia.org/wiki/Irrigation
Sunkesula Barrage,https://en.wikipedia.org/wiki/Sunkesula,Tungabhadra River,https://en.wikipedia.org/wiki/Tungabhadra_River,"Kurnool, Kurnool district, Andhra Pradesh",https://en.wikipedia.org/wiki/Kurnool,Barrage,https://en.wikipedia.org/wiki/Barrage_(dam),163 m (535 ft),"1,300 m (4,265 ft)",30,1.25 tmcft,60 km2,1861,Irrigation & Water supply,https://en.wikipedia.org/wiki/Irrigation
Velgodu Reservoir,https://en.wikipedia.org/wiki/Pothireddypadu_Reservoir,Tungabhadra River,https://en.wikipedia.org/wiki/Tungabhadra_River,"Velgodu, Kurnool district, Andhra Pradesh",https://en.wikipedia.org/wiki/Velgode,,,,,,10.14 tmcft,,,,
Handri Neeva Project,https://en.wikipedia.org/wiki/Handri-Neeva,Tungabhadra River,https://en.wikipedia.org/wiki/Tungabhadra_River,,,,,,,,,,,,
Alaganur Reservoir,https://en.wikipedia.org/w/index.php?title=Alaganur_Reservoir&action=edit&redlink=1,Tungabhadra River,https://en.wikipedia.org/wiki/Tungabhadra_River,,,,,,,,,,,,
Rajolibanda,https://en.wikipedia.org/wiki/Rajolibanda_Diversion_Scheme,Tungabhadra River,https://en.wikipedia.org/wiki/Tungabhadra_River,,,,,,,,,,,,
Sangam Barrage,https://en.wikipedia.org/wiki/Sangam_Barrage,Penna River,https://en.wikipedia.org/wiki/Penna_River,,,,,,,,,,,,
Mylavaram Dam,https://en.wikipedia.org/wiki/Mylavaram_Dam,Penna River,https://en.wikipedia.org/wiki/Penna_River,,,,,,,,9.98 tmcft,,,,
Somasila Dam,https://en.wikipedia.org/wiki/Somasila_Dam,Penna River,https://en.wikipedia.org/wiki/Penna_River,"Somasila village, Nellore district, Andhra Pradesh",https://en.wikipedia.org/w/index.php?title=Somasila_village&action=edit&redlink=1,Earth-fill & Gravity dam,https://en.wikipedia.org/wiki/Earth-fill_dam,128 ft,"760 m (2,493 ft)",,78 tmcft,,1989,Irrigation & Water supply,https://en.wikipedia.org/wiki/Irrigation
PABR Dam,https://en.wikipedia.org/wiki/PABR_Dam,Penna River,https://en.wikipedia.org/wiki/Penna_River,,,,,,,,9.78 tmcft,,2002,,
MPR Dam,https://en.wikipedia.org/wiki/MPR_Dam,Penna River,https://en.wikipedia.org/wiki/Penna_River,,,,,,,,,,,,
Chitravathi Reservoir,https://en.wikipedia.org/w/index.php?title=Chitravathi_Reservoir&action=edit&redlink=1,Penna River,https://en.wikipedia.org/wiki/Penna_River,,,,,,,,,,,,
Cheyyeru Reservoir,https://en.wikipedia.org/w/index.php?title=Cheyyeru_Reservoir&action=edit&redlink=1,Penna River,https://en.wikipedia.org/wiki/Penna_River,,,,,,,,,,,,
Nellore anicut,https://en.wikipedia.org/w/index.php?title=Nellore_anicut&action=edit&redlink=1,Penna River,https://en.wikipedia.org/wiki/Penna_River,,,,,,,,,,,,
Veligallu Dam Reservoir,https://en.wikipedia.org/wiki/Veligallu_Dam_Reservoir,Papagni River,https://en.wikipedia.org/wiki/Papagni_River,,,,,,,,,,,,
Gundlakamma Reservoir,https://en.wikipedia.org/wiki/Gundlakamma_Reservoir_Project,Gundlakamma River,https://en.wikipedia.org/wiki/Gundlakamma_River,,,,,,,,,,,,
Jeedipalli Reservoir,https://en.wikipedia.org/wiki/Jeedipalli_Reservoir,Handri River,https://en.wikipedia.org/wiki/Handri-Neeva,,,,,,,,,,,,
Brahmamsagar Dam,https://en.wikipedia.org/w/index.php?title=Brahmamsagar_Dam&action=edit&redlink=1,Handri River,https://en.wikipedia.org/wiki/Handri-Neeva,,,,,,,,,,,,
Thandava Dam,https://en.wikipedia.org/w/index.php?title=Thandava_Dam&action=edit&redlink=1,Thandava River,https://en.wikipedia.org/w/index.php?title=Thandava_River&action=edit&redlink=1,,,,,,,,,,,,
Upper Sileru Dam,https://en.wikipedia.org/w/index.php?title=Upper_Sileru_Dam&action=edit&redlink=1,Sabari River,https://en.wikipedia.org/wiki/Sabari_River,,,,,,,,,,,,
Donkarayi Dam,https://en.wikipedia.org/w/index.php?title=Donkarayi_Dam&action=edit&redlink=1,Sileru River,https://en.wikipedia.org/wiki/Sileru_River,,,,,,,,,,,,
Kandaleru Dam,https://en.wikipedia.org/wiki/Kandaleru_Dam,Kandaleru River,https://en.wikipedia.org/w/index.php?title=Kandaleru_River&action=edit&redlink=1,,,,,,,,68 tmcft,,,,
Gandipalem Project,https://en.wikipedia.org/w/index.php?title=Gandipalem_Project&action=edit&redlink=1,Manneru River,https://en.wikipedia.org/w/index.php?title=Manneru_River&action=edit&redlink=1,,,,,,,,,,,,
Tatipudi Reservoir,https://en.wikipedia.org/wiki/Tatipudi_Reservoir,Gosthani River,https://en.wikipedia.org/wiki/Gosthani_River,,,,,,,,,,,,
Yeleru Reservoir,https://en.wikipedia.org/w/index.php?title=Yeleru_Reservoir&action=edit&redlink=1,Yeleru River,https://en.wikipedia.org/w/index.php?title=Yeleru_River&action=edit&redlink=1,,,,,,,,,,,,
Kanithi Reservoir,https://en.wikipedia.org/wiki/Kanithi_Balancing_Reservoir,Yeleru River,https://en.wikipedia.org/w/index.php?title=Yeleru_River&action=edit&redlink=1,,,,,,,,,,,,
